rating,title,text,reference,label,confidence,primary_emotion,reason,model,status
1.0,Purchased on Cyber Monday as a gift but PIN number sticker is peeled up/ manipulated,I am worried this card has already been spent.  The Sticker covering the PIN looks like it was peeled up and then smushed back down. I can plainly see the PIN. I checked the balance on Columbia.com and it shows the full amount but I worry that someone already has the number but just hasn't used it yet.  I don't trust people anymore!<br /><br />I want to give as a gift on Christmas but that's 4 weeks away),NEGATIVE,NEGATIVE,0.95,fear,"Worried PIN exposed, untrusting",DeepSeek-V4-Flash-0731,ok
1.0,No bonus credit,When I reloaded the gift card It was with the promise that I wold be credited $15.00 if I did it thru my  card...never received the $15.00 credit...also it was supposed to be reloaded using my rewards on  card and it was not I was billed the $100.00  as a regular charge...this has happened before...do not understand the problem,NEGATIVE,NEGATIVE,0.95,anger,"promised credit not received, charged wrongly",DeepSeek-V4-Flash-0731,ok
1.0,No value on gift card,"I have this as a gift, when the recipient went to use it there was no value on it!",NEGATIVE,NEGATIVE,0.95,anger,No value on gift card,DeepSeek-V4-Flash-0731,ok
1.0,Disappointed,"I read the advertisement that stated if I reloaded at that time I would receive additional funding, that didn't happen.",NEGATIVE,NEGATIVE,0.95,sadness,Ad promised bonus but didn't happen,DeepSeek-V4-Flash-0731,ok
1.0,It was advertised at $39. 00 for a $50 ...,It was advertised at $39.00 for a $50 gift card and I was charged $50.  I could have gone to the restaurant and gotten an extra gift card for $10.,NEGATIVE,NEGATIVE,0.95,anger,Charged full price despite discount advertised,DeepSeek-V4-Flash-0731,ok
1.0,Non redeemable Airbnb gift card,"Do not purchase an Airbnb gift card<br />Airbnb Moon Gift Card -<br />I purchased above mentioned Airbnb gift card on September 29, 2022 sold by Amazon that I was never able to redeem. It was a Christmas present.  In January of 2023 after many phone conversations and emails with Amazon customer service and Airbnb Moon, they were not able to resolve the issue.",NEGATIVE,NEGATIVE,0.95,anger,"Non redeemable, unresolved complaint",DeepSeek-V4-Flash-0731,ok
1.0,No Print of Value | Cheap Nylon Packaging with Visible Serial #,"Gift cards are simply the best option for allowing the recipient to buy what they need, taking guesswork out of planning and gifting people for occasions. Unless they have a public wishlist on Amazon or you are making a custom DIY gift for the recipient, you might very well buy a gift that isn't a useful to them, specially if you don't know their likes and dislikes.<br /><br />Therefore in the time when buying random physical gifts are obsolete, fancy gift cards need to be given a special place in terms of customizable presentation, designs, colors and styles - specially on a platform like Amazon. You would think that you will be spoiled with various beautiful and upend choices of gift cards packaged in great variety of styles and designs. But to my astonishments, the range of choices are very limited, often to very cheap and dollar store type thrown together packagings. Neither are environmentally friendly, using chemical heavy processes to produce gloss and sparkles.<br /><br />Another option is to go with a plain card design and then get a separate gift wrapping and boxing solutions. A search for that yielded few and poor selection of results.<br /><br />This seemed somewhat better than others but apart from the dreadful faults shown in other reviews such as the card arriving bent and with faults, no thought has been given to the process;<br /><br />(1) The box arrives inside an ugly, cheap nylon packaging with a sticker label that reveals ALL the serial numbers and information necessary to use the gift card without even opening it. How dumb is that. This can open the gift card to theft as you don't even have to open the box to use the code to claim the value.<br /><br />I wanted to open the box and inspect it to be sure all is as should be and adding a few more customized items to it. You couldn't do that because of that stupid and dumb nylon packaging. Why not open the nylon packaging then, you might ask. Since I didn't have a prior experience with this design, I didn't know if I could open the nylon package since the critical information regarding the code were on the seal line that closed the box. I imagined and hoped the information is also printed on the card but wasn't sure since there were references in reviews and other places that nothing is printed on the cards. They are just cosmetic and generic. I know this might sound a no brainer, but given how often these things are overlooked, I wanted to be sure. I opened the box and the information was on the card's back but then I still don't understand why you would print it on a nylon packaging that the unit came in; something that a user should throw away. A blank and clear nylon packaging was sufficient and would avoid creating confusion.<br /><br />Also rather than a nylon, I preferred an eco friendly packing option such as a cardboard paper of some sort.<br /><br />(2) Dumber still, the value on the card is not printed. This was a customized amount not listed among options. This is for making it easier for the supplier not having to bother with an additional step of printing something. Nevertheless, that sometimes matter and important to the giver and receiver. Most cards you buy from the shelves also do not have a value printed unless you buy the pre-loaded ones at set values. The point of getting a customized card is to have it customized.<br /><br />(3) The last but not least is the no return, no refund policy. If a card's style or presentation doesn't meet expectations, they should make it easier to cancel and transfer the funds to another style or replacement.",NEGATIVE,NEGATIVE,0.95,anger,"complaints about packaging, no value, no returns",DeepSeek-V4-Flash-0731,ok
1.0,Help!,I'm having major trouble clearing up my account so that my daughter can heve her birthday(4-1)present. I'm not very happy.,NEGATIVE,NEGATIVE,0.95,anger,"major trouble, not happy",DeepSeek-V4-Flash-0731,ok
1.0,just purchase one in a store,"Kept saying void, had to switch it for another one. Online  cards just can't be trusted",NEGATIVE,NEGATIVE,0.9,anger,"void card, had to switch, distrust",DeepSeek-V4-Flash-0731,ok
1.0,Made a mistake reloading.,"Please, cancel the order, I can’t find where to do that..there’s no card, no money to pay for it.",NEGATIVE,NEGATIVE,0.95,fear,"Mistake, can't cancel, no money",DeepSeek-V4-Flash-0731,ok
1.0,Gift box won't open,"Nice gift box, but it won't open. I can't see if there's a card in there or not.",NEGATIVE,NEGATIVE,0.9,anger,"won't open, can't see card",DeepSeek-V4-Flash-0731,ok
1.0,COMPLETE SCAM,I bought these gift cards for a family member and he cannot use them anywhere. Complete waste of money and I will never buy them again.,NEGATIVE,NEGATIVE,1.0,anger,"Complete scam, waste of money",DeepSeek-V4-Flash-0731,ok
1.0,This is a scam. The card has already been used.,Don't do it!!!The card was of no value. Did not purchase anything.,NEGATIVE,NEGATIVE,0.98,anger,"scam, card used, no value",DeepSeek-V4-Flash-0731,ok
1.0,"False Promotion, false incentive to make a purchase and not honoring own advertising",I reloaded my gift card for $100 after Amazon prompted and agreed to take an additional $10 off the current order.  The discount was not applied as promised and customer support refused to help.  Customer service stated they never heard of this promo and stated customers often tey to get promotions that don't exist or that they are not entitled to.  I feel deceived and will not be able to trust the app when it comes to its promotions.,NEGATIVE,NEGATIVE,0.98,anger,"False promotion, discount not applied, deceived",DeepSeek-V4-Flash-0731,ok
1.0,Card never worked !,Card never worked,NEGATIVE,NEGATIVE,1.0,anger,Card never worked.,DeepSeek-V4-Flash-0731,ok
1.0,Be careful. Your gift card may not be valid.,Two stars for invalid gift card code. I called Amazon and they did not give me good reason. Finally just add $100 balance into my account. One star because my previous review did not be posted....,NEGATIVE,NEGATIVE,0.93,anger,"invalid gift card, weak support, review removed",DeepSeek-V4-Flash-0731,ok
1.0,Unable to use,There was nothing loaded on the card.  My inzlaws were unable to use.,NEGATIVE,NEGATIVE,0.95,anger,Nothing loaded; unable to use,DeepSeek-V4-Flash-0731,ok
1.0,Don't,"Said payment declined, call bank nothing submitted did 15 times, headache....",NEGATIVE,NEGATIVE,0.95,anger,"Payment declined repeatedly, headache.",DeepSeek-V4-Flash-0731,ok
1.0,FRAUD - DO NOT BUY,Card is not activated. Card services said it should have been activated by the seller.,NEGATIVE,NEGATIVE,0.9,anger,"Fraud warning, card not activated",DeepSeek-V4-Flash-0731,ok
1.0,This was results of scam,To report to police as scam,NEGATIVE,NEGATIVE,0.95,anger,"scam, report to police",DeepSeek-V4-Flash-0731,ok
1.0,Can not reverse your money,Don't  like,NEGATIVE,NEGATIVE,0.95,anger,"Cannot reverse money, explicitly dislikes",DeepSeek-V4-Flash-0731,ok
1.0,Balance not there,Daughter went to use and there was not a balance on card.,NEGATIVE,NEGATIVE,0.95,anger,Daughter found no balance on card.,DeepSeek-V4-Flash-0731,ok
1.0,Worthless.,Worthless. You cannot use this on an existing account if you have a bundle subscription. This was not clear at the time of purchase.,NEGATIVE,NEGATIVE,0.95,anger,"Worthless, cannot use on existing account",DeepSeek-V4-Flash-0731,ok
2.0,Received not in good shape to gift,I received the gift card with folds and lines. I not able to use to gift.,NEGATIVE,NEGATIVE,0.95,anger,"damaged, folds and lines, unusable for gift",DeepSeek-V4-Flash-0731,ok
2.0,Not such a happy camper.,I am usually very satisfied with Amazon.  This item was supposed to be next day shipping it was a Christmas gift for my niece.  I ordered this on the morning of Monday December 19th.  When I left work at noon on December 23rd it still had not arrived.  It arrived that day after our office was closed.  I had to go out and spend an additional $25 to get my niece an Amazon gift card because this was her request as a Christmas gift.  So I was not a happy camper.,NEGATIVE,NEGATIVE,0.95,anger,Shipping failure caused frustration and extra expense.,DeepSeek-V4-Flash-0731,ok
2.0,1 of the cards did not work i sent message ...,1 of the cards did not work i sent message weeks ago n no response can i get a refund for thst only card? The other 2 worked,NEGATIVE,NEGATIVE,0.95,anger,"card defective, no response, refund requested",DeepSeek-V4-Flash-0731,ok
2.0,Losing times aren't immediate like they used to be...unpredictable,"It's usually fast (almost immediately) when reloading, but this time it took over 12 hrs. Not really sure as to why. And I missed a deal because of it.",NEGATIVE,NEGATIVE,0.9,anger,"took over 12 hrs, missed deal",DeepSeek-V4-Flash-0731,ok
2.0,Two Stars,inability to check balances on specific cards...while they expire...,NEGATIVE,NEGATIVE,0.95,anger,inability to check balances and cards expire,DeepSeek-V4-Flash-0731,ok
2.0,Instructions not clear.,I love gift cards but this particular form and the order that you do steps like recording the numbers is awkward.,NEGATIVE,NEGATIVE,0.8,anger,Instructions unclear and form awkward.,DeepSeek-V4-Flash-0731,ok
3.0,Almost threw it in the trash! Needs better labeling on outside envelope.,"I love Amazon and shop continuously on it.  I bought a gift card for my mom for Xmas and the tracking info actually said I would get it one day earlier than the other products I ordered at the same time.  So when a non descript sealed envelope came in a box with something else I tossed it on the counter thinking it was junk mail like so many other companies send with their products.  I actually forgot about the GC as I expected it to come snail mail solo.  So this envelope sat for a few days and as I was tossing it into the recycle bin I decided to tear it open.  What to my surprise was inside but another envelope, the holiday card and gift card.  Wow was I surprised.  Since the outside envelope is just packaging it should be better labeled as to the contents.",NEUTRAL,NEGATIVE,0.85,surprise,"Complains about poor labeling, nearly discarded gift card",DeepSeek-V4-Flash-0731,ok
3.0,Gift card was fine. Could have been packaged better to protect envelope,Gift card envelope was damaged. Gift card was fine. Could have been packaged better to protect envelope.,NEUTRAL,NEGATIVE,0.6,sadness,"Packaging damaged, mild complaint despite card fine",DeepSeek-V4-Flash-0731,ok
3.0,Should show the price,"I wanted give a bonuses to my employees.<br />I can't do it, because I don't know which one is what. You should show up the price!",NEUTRAL,NEGATIVE,0.95,anger,"Frustrated, can't proceed without price",DeepSeek-V4-Flash-0731,ok
3.0,Gift. Card,Came bent so if I needed to use it anywhere I would have had to slide through machine it wouldn't have worked had crack in the strip.,NEUTRAL,NEGATIVE,0.95,anger,"Came bent, crack in strip unusable",DeepSeek-V4-Flash-0731,ok
3.0,It does what it does,"Nothing exciting to say about this one. It does what it does, and it does it well.",NEUTRAL,POSITIVE,0.6,trust,does it well,DeepSeek-V4-Flash-0731,ok
3.0,Three Stars,The cardboard that the card was in was in rough shape for giving as a Xmas gift.,NEUTRAL,NEGATIVE,0.8,sadness,packaging rough shape,DeepSeek-V4-Flash-0731,ok
3.0,As expected,As expected,NEUTRAL,NEUTRAL,0.9,trust,"Met expectations, no strong sentiment",DeepSeek-V4-Flash-0731,ok
3.0,Be careful when it comes in the mail,"The card worked great, but it was almost thrown away when it came in the mail.  I had sent it as a gift, but when it showed up, it came in a plain white envelope with a bunch of random pages in it which made it look like random junk mail.  The only reason that it was even opened was because we were expecting it to come in the mail soon.  Just be sure to go through all your junk mail if you decide to order gift cards on Amazon.",NEUTRAL,NEGATIVE,0.7,surprise,works but almost thrown away,DeepSeek-V4-Flash-0731,ok
3.0,Disappointing quality,"I was disappointed in the quality of this sweatshirt, especially for the price I paid.  I was afraid to give it as a gift because the fabric looks like it will get picks in it very easily and the Jeopardy logo looks like it could peal off after a few washes. I didn't realize the return policy when I purchased it, which is my fault, but when I wanted to return it, shipping cost$23. back to China.  This sweatshirt should be priced no higher than $14.99.  Rip off.",NEUTRAL,NEGATIVE,0.95,anger,"Poor quality, overpriced, rip off.",DeepSeek-V4-Flash-0731,ok
3.0,Can't use this card for a Disney Plus or Amazon Video subscription.,"I like gift cards, such as Netflix and Hulu gift cards. I can binge watch in the winter, then let the subscriptions lapse in the summer when I'm traveling without worrying about charges on my credit cards. Disney and Amazon don't have gift cards, so I've never used their online video services. I've never been an Amazon Prime member and I don't ever plan on being one. Just another monthly bill. Like I don't have enough of those already.",NEUTRAL,NEGATIVE,0.8,anger,"Can't use card, dislikes subscriptions",DeepSeek-V4-Flash-0731,ok
3.0,Three Stars,this came 1 week late don't buy it,NEUTRAL,NEGATIVE,0.95,anger,"late, don't buy",DeepSeek-V4-Flash-0731,ok
3.0,It's okay,"The gift box was pretty nice but I didn't realize that the card wouldn't be plastic. It was more of a light weight card stock. So, the presentation was made better by the box but was brought down by the card itself. Probably would just go buy an actual card next time.",NEUTRAL,NEGATIVE,0.7,sadness,disappointed by card stock quality,DeepSeek-V4-Flash-0731,ok
3.0,Three Stars,It's fine.,NEUTRAL,NEUTRAL,0.7,trust,"It's fine, no strong feeling",DeepSeek-V4-Flash-0731,ok
3.0,"It's a big irritating hassle to purchase gift cards, use coupons or get credit earned at Amazon.com.","I'm gonna make this short. It's become a real hassle to make your purchases for gift cards when they offer you a $10 credit if you refill $100 to your account. Using coupons has become a headache, even trying to find and apply them is a chore. And trying to get a instant credit for a purchase that has a rebate is virtually impossible. I'm irritated because this is the 7th time it's happened to me. I'd rather just use my credit card each time rather then fill my account with a gift card before my purchases are made.<br /> It's just how I feel. Have a great day, Tim, S",NEUTRAL,NEGATIVE,0.98,anger,"Hassle, headache, impossible, irritated.",DeepSeek-V4-Flash-0731,ok
3.0,Still a happy recipient of this gift.,This was a gift and it took almost five days to be mailed to me. Very disappointed.,NEUTRAL,NEGATIVE,0.9,sadness,Very disappointed about shipping delay,DeepSeek-V4-Flash-0731,ok
3.0,Hard to find,Hard to find on my card,NEUTRAL,NEGATIVE,0.8,anger,Expresses frustration at difficulty finding item.,DeepSeek-V4-Flash-0731,ok
3.0,Three Stars,xmas gift,NEUTRAL,NEUTRAL,0.85,trust,Terse statement of purpose,DeepSeek-V4-Flash-0731,ok
3.0,What? No amount?,"Love the cute reindeer and box, but it didn't say ""$50"".  The recipient has to call me to ask how much it was for.  Disappointed.  Amazon, please include the amount!!!",NEUTRAL,NEGATIVE,0.85,sadness,Disappointed amount not shown,DeepSeek-V4-Flash-0731,ok
3.0,Christmas gift,Late,NEUTRAL,NEGATIVE,0.9,anger,Product arrived late,DeepSeek-V4-Flash-0731,ok
3.0,Beware! Extra fees.,The extra fee is ridiculous.  $50 card. Charged an extra amount of $30,NEUTRAL,NEGATIVE,0.95,anger,Complains about ridiculous extra fee.,DeepSeek-V4-Flash-0731,ok
3.0,No message enclosed!,My message was not included in the package!,NEUTRAL,NEGATIVE,0.95,anger,Message not included,DeepSeek-V4-Flash-0731,ok
3.0,Why bother?,"I sent a gift card to my great-niece. I picked the one with Santa in the chimney. She got a teddy bear dressed as Santa. Also, the note card was not included so she had to figure out who it came from. Not happy with this service! Why bother choosing which card and writing a note?",NEUTRAL,NEGATIVE,0.95,anger,"Complaint: wrong design, missing note, unhappy service",DeepSeek-V4-Flash-0731,ok
3.0,but tracfone seems to be a better deal.,"got this for emergencies, haven't had to use it yet, but tracfone seems to be a better deal.",NEUTRAL,NEGATIVE,0.6,sadness,tracfone seems better deal,DeepSeek-V4-Flash-0731,ok
3.0,Missing Note,"This is the second time Amazon has made an error regarding the gift note. In this instance, I mailed a gift card to my friend's daughter for her birthday. When ordering, I requested a note to be added wishing her a happy birthday and letting her know it was from me. The note did not arrive with the card. She had to ask if I had sent it. This is an error that should easily be avoided.",NEUTRAL,NEGATIVE,0.95,anger,complains about repeated gift note error,DeepSeek-V4-Flash-0731,ok
3.0,Right on Time,"Its what it is,and right on the mark!",NEUTRAL,POSITIVE,0.7,trust,Right on the mark indicates satisfaction,DeepSeek-V4-Flash-0731,ok
3.0,Great product,Easy and fast.,NEUTRAL,POSITIVE,0.95,joy,"Great product, easy and fast",DeepSeek-V4-Flash-0731,ok
3.0,Amount not in cards,It does not say anywhere the amount of the gift cards. We ordered 4 to  give as birthday presents in different amounts and it says to match the serial number with the order number but it does not match.  My husband and I have been searching for an hour now and it is time for the birthday party so we are having to guess,NEUTRAL,NEGATIVE,0.95,anger,"Missing amounts, serial mismatch, wasted time",DeepSeek-V4-Flash-0731,ok
3.0,Three Stars,Worked great but heavy to carry,NEUTRAL,POSITIVE,0.7,joy,Worked great but heavy.,DeepSeek-V4-Flash-0731,ok
3.0,I could not use the sleeves to give as gifts because they looked so bad.,The sleeves and one of the cards arrived severely bent.  I could not use the sleeves to give as gifts because they looked so bad.,NEUTRAL,NEGATIVE,0.95,disgust,"severely bent, looked bad",DeepSeek-V4-Flash-0731,ok
3.0,Carrabba's,"Service & shipping was great, I wish I could say that about the meal I had. Tasted like leftover that were heated over twice.  JP",NEUTRAL,NEGATIVE,0.8,disgust,Meal tasted like leftovers,DeepSeek-V4-Flash-0731,ok
3.0,Won't use again,"I'm not sure I would use this again. It worked out fine because I loaded it for prime day, but I put the $100 on it to get the $10 bonus. This did not go through but Amazon did refund $10 of another item after I mentioned it. When doing this you do have to be careful because it goes under a different category than your cards and you can not switch the payment type to use because this is considered &#34;coupon&#34;. Overall I will not be using again because it's just not worth it for me to have the money tied up for really no benefit and because of the difficulty I had using the balance to pay for my purchases.",NEUTRAL,NEGATIVE,0.9,anger,"Won't use again, not worth it",DeepSeek-V4-Flash-0731,ok
3.0,"Meh, it's okay!","The process was easy enough, and it served my purpose.",NEUTRAL,NEUTRAL,0.65,trust,Lukewarm praise; no strong feeling,DeepSeek-V4-Flash-0731,ok
3.0,Nice gift,Easy to use cane as described and on time,NEUTRAL,POSITIVE,0.9,joy,"Nice gift, easy to use",DeepSeek-V4-Flash-0731,ok
3.0,The gift message was not delivered. The gift card was received on time.,"The delivery was quick but the gift message did not go through, so we are disappointed for that.",NEUTRAL,NEGATIVE,0.85,sadness,"gift message not delivered, disappointed",DeepSeek-V4-Flash-0731,ok
3.0,About gift card,I don't know if it's possible and I'm trying to use it and it a great value for money,NEUTRAL,POSITIVE,0.7,joy,great value for money,DeepSeek-V4-Flash-0731,ok
3.0,Missing message,"The gift card was delivered the next day, as promised. But I'm glad I had it sent to me instead of to the birthday boy, because the message and the ""to-from"" which was supposed to be written on the card, was missing.<br />It was just blank.<br /><br />I've ordered gift cards before and the messages were printed on the card as instructed. I don't know what happened here.",NEUTRAL,NEGATIVE,0.9,anger,Missing message from gift card,DeepSeek-V4-Flash-0731,ok
3.0,Ok,Ok,NEUTRAL,NEUTRAL,0.9,trust,Ok,DeepSeek-V4-Flash-0731,ok
3.0,Great gift,Used as thank yous for wedding and was told at least one gift card had $0 on it (which was disappointing),NEUTRAL,NEGATIVE,0.7,sadness,"gift card had $0, disappointing",DeepSeek-V4-Flash-0731,ok
3.0,Easy to use to give netflix as a gift,"Easy to use to give netflix as a gift.  Dad loved it.  Super convenient, however it would be easier to have Netflix &#34;subscriptions&#34; as gifts.",NEUTRAL,POSITIVE,0.9,joy,"Dad loved it, super convenient",DeepSeek-V4-Flash-0731,ok
3.0,Just buy a code and sent it to your email would be better,Takes so long to be added to your account,NEUTRAL,NEGATIVE,0.9,anger,Slow account addition frustrates,DeepSeek-V4-Flash-0731,ok
3.0,I am confused whether the gift card is meant to be recharged.,The gift card is good to give to others.,NEUTRAL,POSITIVE,0.6,trust,Good to give to others.,DeepSeek-V4-Flash-0731,ok
3.0,Good,Good,NEUTRAL,POSITIVE,0.9,joy,Explicitly 'Good' praise,DeepSeek-V4-Flash-0731,ok
3.0,Basic,Ok,NEUTRAL,NEUTRAL,0.7,trust,"Basic, ok",DeepSeek-V4-Flash-0731,ok
3.0,Load time inconsistent.,Doesnt always load load immediately. If it were consistent or there was at least a warning about the load time immediately  prior to purchase I would up the stars. Do not reccommend if you need to make an immediate purchase.,NEUTRAL,NEGATIVE,0.95,anger,"Inconsistent load time, no recommendation",DeepSeek-V4-Flash-0731,ok
3.0,Great gift for the person you don't really give a ...,"Great gift for the person you don't really give a sh1t about, and there are plenty of those people out there.",NEUTRAL,NEGATIVE,0.9,disgust,Sarcastic dismissal; gift for people you don't care about,DeepSeek-V4-Flash-0731,ok
3.0,Hard to open plastic bag to write message,"I liked the cute card from what I could see when ordering,, and inside the little plastic covering, but couldn't actually open, see and write message. Problem was the UPC label was put right on the opening of the bag, making it hard to open the bag and write a message. It could be for protection purposes, but where would one write the message is my question? Maybe there should be an option to get names n message printed at the time of ordering.",NEUTRAL,NEGATIVE,0.9,anger,"Hard to open, can't write message",DeepSeek-V4-Flash-0731,ok
3.0,Needs sender info...,My friend didn’t know it was from me.,NEUTRAL,NEGATIVE,0.6,sadness,Missing sender info caused confusion,DeepSeek-V4-Flash-0731,ok
3.0,Yearly collection,"Bear looks smaller then expected. But is a awesome deal for a plush toy collector, grab it while last",NEUTRAL,POSITIVE,0.9,joy,"awesome deal, great for collectors",DeepSeek-V4-Flash-0731,ok
3.0,amount of gift card nowhere to be found.,"cute and appropriate packaging for a gift card, BUT GIFT CARD AMOUNT IS NOT DISPLAYED ON CARD, OR ANY OTHER PLACE.  I HAD TO CALL RECEIPIENT AFTER THE EVENT, TO RELATE THE AMOUNT OF THE CARD. THIS WAS A VERY EMBARRSSING MOMENT.",NEUTRAL,NEGATIVE,0.95,anger,"Embarrassing, no amount displayed",DeepSeek-V4-Flash-0731,ok
3.0,Ehh needs work,"This is a great concept. Especially when it could be sent and or if u get a little boost ""aka free money"". However it took around 4 hours for the 200 to hit my account. And when the promo was going on 10 bucks extra for 100 bucks uploaded. It didnt give me 10 bucks per hundred but 10 bucks for 100+. This could be a great promo or even concept but I think there should be a different or more personalized/push in marketing and promo added for customers. At this point it's no more effective then just ordering your products.",NEUTRAL,NEGATIVE,0.68,disgust,delays and promo issues frustrate,DeepSeek-V4-Flash-0731,ok
4.0,Four Stars,Was hoping the card was waterproof but it wasn’t.,POSITIVE,NEGATIVE,0.9,sadness,hoped waterproof but wasn't,DeepSeek-V4-Flash-0731,ok
4.0,Bueno,Bueno,POSITIVE,POSITIVE,0.9,joy,Bueno means good.,DeepSeek-V4-Flash-0731,ok
4.0,Four Stars,Easy to use.,POSITIVE,POSITIVE,0.9,joy,Easy to use,DeepSeek-V4-Flash-0731,ok
